tempo,rms,spectral_centroid,spectral_bandwidth,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,chroma,contrast,tonnetz,onset,genre
[143.5546875],0.105061464,2247.1064127389186,2348.3973078166096,0.09594650977167182,-156.58287,95.85829,23.587675,15.304948,-11.931978,0.29819533,25.67048159103756,0.073802825229154,1.0350244,hip-hop
[83.35433468],0.23806427,2345.661847380595,2117.737975594267,0.12702417521284828,-114.78381,89.05977,-15.615955,-5.746255,17.614616,0.34328845,27.383019043622504,0.05003568199727618,1.647939,hip-hop
[143.5546875],0.20382164,2262.9269598747364,2486.217439794034,0.0765581160506966,-150.52776,88.33758,18.621359,11.0473,5.818366,0.46912402,23.387583956113556,0.04935926119735874,1.6632732,hip-hop
[117.45383523],0.22716945,2887.3444180801507,2542.356891521159,0.1200094784007353,-103.41338,58.87374,-20.625223,-9.924715,-2.1462343,0.4066799,24.820990297906327,0.07066085233822288,1.6522529,hip-hop
[135.99917763],0.14239687,2000.6183200242458,2277.797022476674,0.05649663494098297,-211.27856,80.96927,9.542628,22.262243,-1.2590287,0.40579316,24.99495353157664,-0.06592241291570602,1.4750993,hip-hop
[95.703125],0.10459398,2538.2730380458047,2625.079452350102,0.11129184404024768,-158.10536,75.31817,10.110394,27.941639,1.4333048,0.44849572,23.062376584988336,0.02160555330883706,1.3119116,hip-hop
[86.1328125],0.19895968,2641.086965140491,2393.8246938737198,0.13548217395510836,-57.720757,75.548935,-15.373574,27.130575,-6.253754,0.38344666,21.801601501448953,-0.004401093171123693,1.8704418,hip-hop
[143.5546875],0.09514783,2041.1612491664914,2078.638457641815,0.09305612664473684,-197.4405,114.57537,-6.980373,16.603226,3.9645176,0.3285506,25.14526506391183,0.029933268175007546,1.5869983,hip-hop
[86.1328125],0.14623795,1390.3438552506507,1798.7904957266994,0.05713873234326625,-221.76146,114.12045,33.185787,20.133587,-0.4107598,0.35515657,24.68956234399802,-0.02438916752712963,1.1664503,hip-hop
[95.703125],0.19707823,1959.5421165162352,2407.8553035018563,0.07212730384094428,-102.36374,102.29799,8.809424,8.044366,-5.8284645,0.3278811,25.189245081019635,0.027477990435702628,1.3522437,hip-hop
[184.5703125],0.19318499,2092.9351548209092,2526.685388277812,0.0726858794504644,-177.67986,78.5666,49.975582,53.079735,9.909128,0.43250054,22.248017839955228,-0.020730556523953274,1.6655468,hip-hop
[95.703125],0.16068451,1182.8346010133803,1878.7465717292812,0.03341967697852167,-176.42699,138.1501,28.732624,24.081608,10.227857,0.44013953,21.601753731419986,-0.03015880894965706,1.2609388,hip-hop
[123.046875],0.2757865,2448.9026128205846,2572.509084804126,0.10233120283475232,-24.035843,90.3494,8.133229,23.471107,3.47366,0.39217243,21.935205675421905,0.002087901568127886,1.8709255,hip-hop
[86.1328125],0.19683534,2830.1350805675993,2533.9186533904813,0.10414789630901702,-101.23862,49.61177,5.9417095,54.998222,6.8154306,0.49880943,22.95774866165918,0.08672860767115863,1.7237314,hip-hop
[92.28515625],0.08448064,2704.632364678184,2189.0180815846816,0.1307539334607198,-292.4106,32.994244,-23.066986,-3.814955,-20.025307,0.27453092,22.26456725176982,-0.0449634871084638,1.882422,hip-hop
[95.703125],0.26893604,2177.4595445273767,2228.0652164566013,0.09709616268382353,-62.118355,109.79669,-9.756102,14.778665,0.9067228,0.35655624,22.1041245327152,0.01161316015351545,1.7326344,hip-hop
[95.703125],0.28145674,2115.997343345238,2411.141374439936,0.07623801216621517,-65.79519,103.54766,14.133048,11.366285,3.4136457,0.35110384,22.610531540995797,0.02145782080428231,1.7015771,hip-hop
[99.38401442],0.12037772,2776.930987682582,2595.4614867031733,0.125479588936726,-154.2228,69.534935,23.103172,39.03122,11.689494,0.4602578,21.510083038513947,0.018044108715629406,1.9554254,hip-hop
[112.34714674],0.1401841,1741.6677658605486,2083.7669050162876,0.06599657749613003,-197.71312,107.52199,2.502522,-17.074081,-29.79252,0.27022713,25.34511588980734,0.07761925842304883,1.303273,hip-hop
[103.359375],0.17866942,1506.875849324482,1463.0004661961882,0.07216660821400929,-200.84023,144.06067,17.98448,-3.5125818,1.5167671,0.42579478,23.372343469076302,-0.02314788736262097,1.4423838,hip-hop
[95.703125],0.13887693,2769.206575288218,2826.30762523106,0.0914420018624226,-122.48977,71.48328,13.89,29.131458,6.6532173,0.46429494,22.5278663312449,0.025424004862051555,1.6034143,hip-hop
[151.99908088],0.12600133,2154.4340357646274,2263.3457644572422,0.09606593459752322,-177.5901,98.878746,-2.525941,-5.2525544,4.987466,0.33141798,25.049460855398,-0.03300670269914025,1.2610775,hip-hop
[135.99917763],0.15978922,1372.8996052485156,1379.5255032363632,0.07345193679856811,-148.43323,156.37785,-47.50673,21.966618,19.008072,0.3487409,28.187511980039638,-0.06829868758795891,1.0926113,hip-hop
[135.99917763],0.14090048,2746.639419907989,2628.1437068801665,0.13376600897349072,-107.95199,74.61258,7.0459685,17.864462,-2.396436,0.4058913,23.039854820658267,-0.0478581190257114,1.5369548,hip-hop
[135.99917763],0.18005061,2341.791912061504,2289.6083188392945,0.10389128410410217,-147.88528,75.79243,0.2956354,-11.35306,-29.775438,0.29204893,22.66393515652439,-0.015187505582012949,1.9978586,hip-hop
[135.99917763],0.22500218,2354.315677590631,2429.409311274023,0.10444872593363003,-130.82404,88.19326,26.769907,29.052475,1.8226819,0.38031334,22.372875784308444,-0.04581599647655717,1.4502174,hip-hop
[73.828125],0.23746543,2252.4082091242262,2080.4293687332543,0.0989820167376161,-90.255974,88.520966,-34.704033,23.556498,-12.17059,0.42309383,23.228153486586102,0.07724737923197095,1.4298937,hip-hop
[172.265625],0.25013587,2486.1817376537833,2652.859787036809,0.09292158475232198,-67.10909,79.32773,8.8663645,22.014494,3.5898223,0.40851125,22.10876372420235,-0.022390244017595616,1.7950776,hip-hop
[117.45383523],0.14963435,2755.9074210654376,2649.4352466208434,0.1228737845878483,-132.38396,66.697075,16.206884,26.122034,-7.7950687,0.4062358,22.4849733337637,0.008232735149358753,2.1109457,hip-hop
[71.77734375],0.23081511,2435.042929886625,2632.8698401502656,0.09788225014512383,-91.8007,94.70122,0.7322624,-9.956913,3.4615557,0.39797366,23.71781770823509,-0.05323920019843735,1.4303095,hip-hop
[83.35433468],0.3488496,1194.368510757339,1687.0421872480954,0.039407547044311146,-181.27242,125.31608,34.95713,31.247417,14.459574,0.25027397,24.18720624753672,0.052770734394923795,1.5966105,hip-hop
[135.99917763],0.12216957,2487.7197424446904,2497.423434498278,0.09584409164570433,-171.37724,74.12778,2.6712244,24.688,17.608547,0.3096452,25.69237893780976,-0.07029777688319439,2.064532,hip-hop
[143.5546875],0.23867306,2938.7887371515194,2770.236730653451,0.13660499407410992,-52.30265,68.9592,4.7769294,-0.36647704,-12.403552,0.42213917,22.09953374015878,0.023656071102712388,1.973148,hip-hop
[99.38401442],0.20263535,2709.7965797193438,2561.0915769535104,0.13080457563370743,-136.25688,68.98612,16.291237,22.646503,-3.2686,0.37926912,22.757413121093855,-0.02434979405065061,2.335205,hip-hop
[143.5546875],0.18012798,2157.6639057915604,2149.987895632011,0.10236105904121517,-115.69628,108.538055,-5.9435954,17.60816,6.5332093,0.34235054,23.834527436030935,-0.036125561533154986,1.6198765,hip-hop
[69.83741554],0.0991651,1754.8853975656557,1724.920833383284,0.10815240724167957,-223.85463,115.67613,-25.155197,7.9139357,-4.331633,0.36006975,22.18097036263345,0.026073255644318973,1.8441582,hip-hop
[112.34714674],0.30020416,2558.149145930883,2879.0273382843934,0.07582078112906347,-41.209114,85.753044,12.218096,1.8865473,7.027575,0.4108231,23.43837018416345,-0.06488623105755625,1.9507384,hip-hop
[92.28515625],0.20545393,2835.877482873966,3022.781900152534,0.10333988910119969,-70.27035,74.70708,23.381475,17.816406,18.053509,0.34390002,23.421291254896584,0.034327965580339015,1.5443888,hip-hop
[172.265625],0.098038726,1364.4461304718457,1353.1271780544832,0.06784085961687307,-219.08171,140.48257,-17.309855,1.2599256,15.889847,0.3562246,24.055400215267774,-0.014821046967942028,1.2578877,hip-hop
[172.265625],0.23527463,2572.27204876432,2675.931876680895,0.11056206765189629,-67.456406,85.32622,14.71078,21.987368,9.181301,0.43036762,22.551823436304804,0.008910538590111991,1.9048498,hip-hop
[95.703125],0.17530265,3462.6952673668893,2883.7113403483795,0.18249625096749225,-75.560905,48.635876,0.81265175,4.846727,-22.626457,0.48076317,21.68548757188873,0.03103679145617631,1.5739975,hip-hop
[172.265625],0.18862174,1515.5816241760606,1918.335240545934,0.05621507957623839,-148.8884,133.70824,15.438988,22.682606,8.735006,0.32877862,23.95659868177946,0.07396788953460026,1.548602,hip-hop
